n_estimators,max_depth,random_state,score
17,14,20,96.2
17,14,21,96.0
17,14,22,96.4
17,14,23,95.5
17,14,24,96.4
17,14,25,96.5
17,14,26,95.7
17,14,27,96.1
17,14,28,96.4
17,14,29,95.7
17,15,1,96.1
17,15,2,95.9
17,15,3,96.3
17,15,4,95.9
17,15,5,95.9
17,15,6,95.9
17,15,7,96.4
17,15,8,95.9
17,15,9,96.3
17,15,10,96.0
17,15,11,96.3
17,15,12,96.1
17,15,13,96.5
17,15,14,95.4
17,15,15,95.7
17,15,16,96.2
17,15,17,96.0
17,15,18,96.2
17,15,19,96.5
17,15,20,96.2
17,15,21,95.8
17,15,22,96.5
17,15,23,95.8
17,15,24,96.6
17,15,25,96.6
17,15,26,95.4
17,15,27,95.6
17,15,28,96.1
17,15,29,96.1
18,10,1,94.5
