n_estimators,max_depth,random_state,score
13,12,38,95.0
13,12,39,95.0
13,12,40,95.2
13,12,41,95.1
13,12,42,95.4
13,12,43,95.8
13,12,44,95.0
13,12,45,95.3
13,12,46,95.5
13,12,47,95.3
13,12,48,95.7
13,12,49,94.9
13,12,50,95.0
13,12,51,95.2
13,12,52,95.3
13,12,53,95.0
13,12,54,95.5
13,12,55,95.5
13,12,56,95.1
13,12,57,95.2
13,12,58,95.5
13,12,59,94.9
13,12,60,95.5
13,12,61,95.4
13,12,62,95.2
13,12,63,95.4
13,12,64,95.1
13,12,65,95.2
13,12,66,95.9
13,12,67,95.3
13,12,68,95.5
13,12,69,95.4
13,12,70,94.7
13,12,71,95.0
13,12,72,95.2
13,12,73,95.1
13,12,74,95.2
13,12,75,95.3
13,12,76,95.2
13,12,77,95.4
13,12,78,95.3
13,12,79,95.4
13,12,80,95.3
13,12,81,95.5
13,12,82,94.9
13,12,83,95.3
13,12,84,95.0
13,12,85,95.1
13,12,86,95.1
13,12,87,95.3
13,12,88,95.7
13,12,89,95.1
13,12,90,95.2
13,12,91,94.8
13,12,92,95.9
13,12,93,95.5
13,12,94,94.9
13,12,95,95.2
13,12,96,95.4
13,12,97,95.0
13,12,98,95.1
13,12,99,95.6
13,13,1,95.5
13,13,2,95.3
13,13,3,95.4
13,13,4,95.2
13,13,5,95.3
13,13,6,95.3
13,13,7,95.3
13,13,8,95.2
13,13,9,95.6
13,13,10,95.2
13,13,11,95.3
13,13,12,95.0
13,13,13,95.3
13,13,14,95.1
13,13,15,95.3
13,13,16,95.6
13,13,17,95.0
13,13,18,95.6
13,13,19,95.4
13,13,20,95.6
13,13,21,95.3
13,13,22,95.5
13,13,23,95.2
13,13,24,95.3
13,13,25,95.6
13,13,26,95.4
13,13,27,95.2
13,13,28,95.6
13,13,29,96.0
13,13,30,95.7
13,13,31,96.0
13,13,32,95.7
13,13,33,95.3
13,13,34,95.4
13,13,35,96.1
13,13,36,95.2
13,13,37,95.1
13,13,38,95.5
13,13,39,95.3
13,13,40,95.7
13,13,41,95.2
13,13,42,95.2
13,13,43,95.2
13,13,44,95.6
13,13,45,95.5
13,13,46,95.6
13,13,47,95.1
13,13,48,95.3
13,13,49,95.3
13,13,50,95.2
13,13,51,95.0
13,13,52,95.9
13,13,53,96.0
13,13,54,95.6
13,13,55,95.3
13,13,56,95.3
13,13,57,95.4
13,13,58,95.6
13,13,59,95.0
13,13,60,95.0
13,13,61,95.4
13,13,62,95.5
13,13,63,95.6
13,13,64,95.0
13,13,65,95.1
13,13,66,95.7
13,13,67,95.3
13,13,68,95.3
13,13,69,95.2
13,13,70,95.3
13,13,71,95.7
13,13,72,95.3
13,13,73,95.6
13,13,74,95.6
13,13,75,95.3
13,13,76,95.6
13,13,77,95.5
13,13,78,95.8
13,13,79,95.1
13,13,80,95.4
13,13,81,95.2
13,13,82,95.1
